total_sqft_cleaned,bath,bhk,availability_encoded,balcony,price_per_sqft,location_reduced,price
1600.0,2.0,3.0,1,3.0,4687.5,Yelahanka,75.0
1200.0,2.0,2.0,1,2.0,3666.6666666666665,Begur Road,44.0
1500.0,2.0,2.0,1,2.0,12333.333333333334,other,185.0
1407.0,4.0,6.0,1,1.0,10660.980810234541,other,150.0
840.0,2.0,2.0,1,2.0,5357.142857142857,other,45.0
4395.0,3.0,3.0,1,2.0,5460.750853242321,other,240.0
845.0,2.0,2.0,1,1.0,6508.87573964497,other,55.0
5700.0,5.0,4.0,1,3.0,11403.508771929824,Whitefield,650.0
1160.0,2.0,2.0,1,2.0,3793.103448275862,Varthur,44.0
3000.0,8.0,8.0,1,0.0,4666.666666666667,other,140.0
1100.0,2.0,2.0,1,1.0,5636.363636363636,other,62.0
1140.0,2.0,2.0,0,3.0,3771.9298245614036,other,43.0
1220.0,2.0,2.0,1,1.0,4672.131147540984,Marathahalli,57.0
1350.0,7.0,8.0,1,0.0,6296.2962962962965,other,85.0
1005.0,2.0,2.0,1,1.0,3649.7512437810947,Kanakpura Road,36.68
500.0,3.0,3.0,1,2.0,20000.0,other,100.0
1358.0,2.0,2.0,0,1.0,5933.726067746687,Begur Road,80.58
1569.0,3.0,3.0,1,1.0,6437.221159974506,other,101.0
1240.0,2.0,2.0,0,1.0,5645.1612903225805,Haralur Road,70.0
2089.0,3.0,3.0,1,2.0,6701.771182383915,Hennur Road,140.0
1206.0,2.0,2.0,1,1.0,3999.1708126036483,other,48.23
1150.0,2.0,2.0,1,3.0,3478.2608695652175,other,40.0
2511.0,3.0,3.0,1,3.0,8164.078056551175,other,205.0
460.0,1.0,2.0,1,0.0,4782.608695652174,other,22.0
4400.0,6.0,6.0,1,3.0,5681.818181818182,other,250.0
1660.0,2.0,3.0,1,2.0,6325.301204819277,other,105.0
1326.0,2.0,2.0,0,2.0,5882.35294117647,Yelahanka,78.0
1325.0,2.0,3.0,1,2.0,4588.679245283019,other,60.8
1499.0,5.0,3.0,1,2.0,6804.536357571715,other,102.0
3000.0,7.0,6.0,1,2.0,7000.0,other,210.0
1665.0,3.0,3.0,1,2.0,5285.285285285286,Kanakpura Road,88.0
708.0,2.0,2.0,0,2.0,5225.988700564972,other,37.0
1060.0,2.0,2.0,1,2.0,5477.358490566037,Kasavanhalli,58.06
710.0,6.0,6.0,1,3.0,22535.211267605635,Rajaji Nagar,160.0
1000.0,2.0,2.0,1,2.0,7000.0,other,70.0
1000.0,2.0,2.0,0,1.0,2888.0,Electronic City,28.88
1450.0,2.0,3.0,1,2.0,4827.586206896552,other,70.0
1200.0,4.0,4.0,1,2.0,12916.666666666666,other,155.0
1296.0,2.0,2.0,0,3.0,6172.83950617284,Thanisandra,80.0
1540.0,3.0,3.0,1,2.0,5844.1558441558445,other,90.0
2894.0,4.0,4.0,1,1.0,8465.791292328957,Kengeri,245.0
1330.0,2.0,3.0,1,1.0,3609.0225563909776,other,48.0
1200.0,2.0,2.0,1,1.0,5416.666666666667,other,65.0
1200.0,3.0,3.0,1,1.0,7500.0,other,90.0
2502.0,3.0,3.0,1,3.0,5515.587529976019,Yeshwanthpur,138.0
650.0,1.0,2.0,1,1.0,2615.3846153846152,Chandapura,17.0
2400.0,2.0,3.0,1,1.0,6250.0,Kothanur,150.0
1007.0,2.0,2.0,1,2.0,4270.109235352532,other,43.0
1200.0,2.0,2.0,1,2.0,4166.666666666667,other,50.0
966.0,2.0,2.0,1,2.0,5165.631469979296,other,49.9
1630.0,2.0,3.0,1,1.0,6012.269938650306,Nagarbhavi,98.0
1640.0,3.0,3.0,1,2.0,13963.414634146342,Rajaji Nagar,229.0
782.0,2.0,2.0,1,2.0,7120.204603580562,other,55.68
1260.0,2.0,2.0,0,2.0,5300.0,other,66.78
1800.0,3.0,3.0,1,3.0,6666.666666666667,other,120.0
1413.0,2.0,3.0,1,2.0,5307.855626326964,other,75.0
1116.0,2.0,2.0,1,1.0,4651.433691756272,Whitefield,51.91
1530.0,2.0,3.0,1,1.0,3000.0,Electronic City,45.9
3700.0,4.0,4.0,1,1.0,6081.081081081081,Ramamurthy Nagar,225.0
2497.0,3.0,3.0,1,2.0,5606.728073688426,Sarjapur  Road,140.0
1540.0,2.0,3.0,1,3.0,4155.8441558441555,Kengeri,64.0
1436.0,3.0,3.0,0,1.0,5205.431754874652,Thanisandra,74.75
1100.0,2.0,2.0,0,2.0,6818.181818181818,Malleshwaram,75.0
276.0,3.0,2.0,1,3.0,8333.333333333334,Hennur Road,23.0
1427.0,3.0,3.0,1,2.0,8409.250175192712,Thanisandra,120.0
2061.0,3.0,3.0,1,1.0,9704.02717127608,Akshaya Nagar,200.0
5611.5,4.0,4.0,0,0.0,8500.400962309543,Hebbal,477.0
2650.0,4.0,4.0,1,2.0,5660.377358490566,other,150.0
1282.0,2.0,3.0,0,2.0,5344.773790951638,other,68.52
1050.0,2.0,2.0,1,1.0,3238.095238095238,other,34.0
1600.0,3.0,3.0,1,2.0,4062.5,other,65.0
945.0,2.0,2.0,0,1.0,5714.285714285715,other,54.0
1500.0,2.0,2.0,1,1.0,5200.0,Hormavu,78.0
950.0,7.0,7.0,1,0.0,12105.263157894737,other,115.0
1870.0,3.0,3.0,1,3.0,5882.35294117647,other,110.0
1600.0,3.0,3.0,1,1.0,4687.5,Sarjapur,75.0
880.0,1.0,2.0,1,1.0,1875.0,Electronic City,16.5
1200.0,4.0,4.0,1,0.0,17500.0,other,210.0
1535.0,3.0,3.0,1,2.0,5407.166123778502,other,83.0
950.0,2.0,2.0,1,1.0,6000.0,Kanakpura Road,57.0
1360.0,2.0,2.0,0,1.0,4779.411764705882,other,65.0
1073.5,2.0,2.0,0,0.0,5030.740568234746,8th Phase JP Nagar,54.005
1280.0,3.0,3.0,0,1.0,3937.5,other,50.4
1260.0,2.0,3.0,0,2.0,6750.0,other,85.05
5000.0,8.0,8.0,1,2.0,5000.0,Hennur Road,250.0
3050.0,5.0,5.0,0,1.0,6983.606557377049,Yelahanka,213.0
1563.05,3.0,3.0,1,1.0,6717.635392341896,Kasavanhalli,105.0
1000.0,2.0,2.0,1,1.0,6000.0,other,60.0
1167.0,2.0,2.0,0,1.0,3749.7857754927163,other,43.76
4000.0,7.0,7.0,1,2.0,5625.0,other,225.0
1828.0,3.0,3.0,1,2.0,6017.505470459519,Kothanur,110.0
890.0,2.0,2.0,1,1.0,3932.5842696629215,other,35.0
1612.0,3.0,3.0,1,3.0,2899.5037220843674,other,46.74
1034.0,5.0,6.0,1,2.0,17891.682785299807,other,185.0
1710.0,4.0,3.0,0,2.0,5339.766081871345,other,91.31
957.0,2.0,2.0,1,1.0,6060.606060606061,other,58.0
1250.0,2.0,3.0,0,3.0,3520.0,other,44.0
2795.0,4.0,3.0,1,2.0,8407.871198568873,other,235.0
1125.0,2.0,2.0,1,2.0,4444.444444444444,Hulimavu,50.0
1020.0,2.0,2.0,0,1.0,3000.0,Electronic City Phase II,30.6
1200.0,2.0,2.0,1,2.0,4166.666666666667,other,50.0
1735.0,3.0,3.0,1,3.0,7780.979827089337,Thanisandra,135.0
2050.0,3.0,3.0,1,1.0,7073.170731707317,Thanisandra,145.0
3750.0,4.0,4.0,1,0.0,20266.666666666668,other,760.0
1350.0,2.0,3.0,1,3.0,3555.5555555555557,other,48.0
1063.0,2.0,2.0,0,1.0,3010.348071495767,Hosa Road,32.0
1904.0,3.0,3.0,1,1.0,7878.151260504202,other,150.0
4200.0,4.0,4.0,1,2.0,10000.0,Whitefield,420.0
2000.0,3.0,3.0,1,1.0,8750.0,other,175.0
1242.5,2.0,2.0,0,0.0,3500.201207243461,Sarjapur,43.49
1425.0,2.0,3.0,1,2.0,5263.1578947368425,other,75.0
1500.0,2.0,3.0,1,1.0,4300.0,Electronic City,64.5
1060.0,2.0,2.0,1,1.0,5660.377358490566,Electronic City,60.0
1470.0,2.0,3.0,1,2.0,4761.9047619047615,other,70.0
1300.0,6.0,6.0,1,0.0,7615.384615384615,other,99.0
450.0,1.0,1.0,1,1.0,2444.4444444444443,other,11.0
1152.0,2.0,2.0,0,1.0,5598.958333333333,Electronic City,64.5
1350.0,2.0,3.0,1,1.0,4148.148148148148,Electronic City,56.0
1550.0,3.0,3.0,1,3.0,4193.548387096775,other,65.0
1500.0,3.0,3.0,1,2.0,6666.666666666667,other,100.0
600.0,3.0,5.0,1,2.0,14166.666666666666,other,85.0
400.0,1.0,1.0,1,0.0,3500.0,other,14.0
705.0,1.0,1.0,1,2.0,9503.54609929078,Malleshwaram,67.0
770.0,1.0,2.0,1,1.0,4675.324675324675,Electronic City,36.0
1242.0,2.0,2.0,1,3.0,4106.280193236715,Hulimavu,51.0
1700.0,3.0,3.0,1,2.0,9117.64705882353,other,155.0
2144.0,3.0,3.0,1,2.0,6763.059701492537,Thanisandra,145.0
1704.0,3.0,3.0,0,2.0,6455.399061032864,other,110.0
1070.0,2.0,2.0,1,1.0,4859.813084112149,Electronic City,52.0
1846.0,3.0,3.0,1,2.0,16251.354279523293,other,300.0
1340.0,2.0,2.0,1,2.0,4156.7164179104475,other,55.7
1025.0,2.0,2.0,1,1.0,4487.804878048781,Electronic City,46.0
1277.5,2.0,2.0,1,0.0,4446.183953033268,KR Puram,56.8
1200.0,2.0,2.0,1,2.0,4333.333333333333,Marathahalli,52.0
2250.0,4.0,4.0,0,1.0,4888.888888888889,Kanakpura Road,110.0
1550.0,2.0,3.0,1,3.0,5161.290322580645,other,80.0
1200.0,5.0,4.0,1,2.0,27083.333333333332,Bellandur,325.0
1800.0,7.0,7.0,1,1.0,13888.888888888889,other,250.0
1200.0,2.0,2.0,1,2.0,5000.0,Marathahalli,60.0
1327.0,2.0,2.0,1,2.0,7385.079125847777,Yelahanka,98.0
1186.0,2.0,2.0,1,2.0,4890.387858347386,Kothanur,58.0
1783.0,3.0,3.0,1,1.0,6449.8037016264725,other,115.0
1400.0,3.0,3.0,1,2.0,4000.0,HSR Layout,56.0
980.0,2.0,2.0,1,1.0,4897.959183673469,other,48.0
1285.0,2.0,2.0,1,2.0,6381.322957198444,other,82.0
912.0,2.0,3.0,1,1.0,7675.438596491228,other,70.0
1225.0,2.0,2.0,1,2.0,3885.714285714286,Whitefield,47.6
1075.0,2.0,2.0,1,1.0,4930.232558139535,Whitefield,53.0
1260.0,2.0,3.0,1,2.0,4285.714285714285,other,54.0
1282.0,2.0,3.0,1,2.0,3798.751950078003,Yelahanka,48.7
1909.0,3.0,3.0,1,2.0,4609.743321110529,other,88.0
1359.0,2.0,2.0,1,1.0,6401.766004415011,Panathur,87.0
1207.0,2.0,2.0,1,2.0,3603.976801988401,other,43.5
1736.0,6.0,4.0,1,0.0,10944.700460829494,other,190.0
2850.0,4.0,4.0,0,1.0,15017.543859649122,other,428.0
1595.0,3.0,3.0,1,2.0,4075.2351097178685,other,65.0
1798.0,3.0,3.0,0,2.0,4949.944382647386,other,89.0
1475.0,3.0,3.0,1,2.0,5307.796610169492,Electronics City Phase 1,78.29
1580.0,3.0,3.0,1,3.0,6329.113924050633,other,100.0
1295.0,2.0,2.0,1,1.0,5019.305019305019,other,65.0
3600.0,6.0,6.0,1,0.0,3916.6666666666665,other,141.0
589.0,1.0,1.0,1,1.0,4584.040747028863,Electronic City,27.0
1415.0,3.0,3.0,1,3.0,5512.367491166077,other,78.0
1787.0,3.0,3.0,0,2.0,5500.279798545048,Sarjapur  Road,98.29
1787.0,3.0,3.0,1,2.0,6994.963626189144,Sarjapur  Road,125.0
1475.0,2.0,3.0,1,3.0,6101.6949152542375,Koramangala,90.0
2000.0,4.0,4.0,1,1.0,3775.0,other,75.5
984.0,2.0,2.0,0,1.0,4500.0,Sarjapur  Road,44.28
2405.0,4.0,3.0,1,2.0,10810.81081081081,other,260.0
1080.0,2.0,2.0,1,2.0,6666.666666666667,7th Phase JP Nagar,72.0
1500.0,2.0,2.0,1,1.0,7666.666666666667,other,115.0
1900.0,3.0,3.0,1,2.0,6263.1578947368425,Hebbal,119.0
805.0,2.0,2.0,0,1.0,2750.3105590062114,other,22.14
1153.0,2.0,2.0,1,2.0,4891.587163920208,Budigere,56.4
1148.0,2.0,2.0,1,2.0,5226.480836236934,other,60.0
1110.0,2.0,2.0,1,2.0,4954.954954954955,other,55.0
1100.0,2.0,2.0,1,2.0,3818.181818181818,Electronic City,42.0
1290.0,2.0,2.0,1,2.0,8527.131782945737,other,110.0
1500.0,2.0,3.0,1,1.0,4333.333333333333,other,65.0
1080.0,2.0,2.0,0,2.0,3611.1111111111113,other,39.0
1933.0,3.0,3.0,0,1.0,6673.564407656492,other,129.0
3500.0,5.0,5.0,1,2.0,4285.714285714285,Ramamurthy Nagar,150.0
1060.0,2.0,2.0,1,2.0,5660.377358490566,other,60.0
645.0,1.0,1.0,0,1.0,2550.3875968992247,Chandapura,16.45
2600.0,8.0,8.0,1,2.0,6923.076923076923,other,180.0
645.0,1.0,1.0,0,1.0,2550.3875968992247,Chandapura,16.45
1644.0,3.0,3.0,1,3.0,5109.489051094891,other,84.0
1285.0,2.0,2.0,1,3.0,5642.023346303502,other,72.5
1200.0,3.0,3.0,1,1.0,7500.0,Electronic City,90.0
910.0,2.0,2.0,1,1.0,4395.604395604396,Electronic City,40.0
1577.0,3.0,3.0,1,1.0,4438.807863031072,Kothanur,70.0
4050.0,3.0,3.0,0,2.0,6913.580246913581,other,280.0
2420.0,3.0,3.0,1,2.0,7644.628099173554,other,185.0
800.0,1.0,2.0,1,1.0,2500.0,Chandapura,20.0
1060.0,2.0,2.0,1,2.0,5188.679245283019,other,55.0
1270.0,2.0,2.0,1,2.0,7322.834645669292,7th Phase JP Nagar,93.0
900.0,2.0,2.0,0,2.0,2500.0,other,22.5
1280.0,2.0,2.0,1,1.0,5390.625,other,69.0
1200.0,2.0,4.0,1,0.0,7916.666666666667,other,95.0
1025.0,2.0,2.0,1,2.0,3512.1951219512193,Sarjapur  Road,36.0
1108.0,2.0,2.0,0,1.0,5685.9205776173285,Electronic City,63.0
1200.0,5.0,5.0,1,2.0,14166.666666666666,other,170.0
3045.0,3.0,3.0,1,2.0,5582.922824302134,other,170.0
2900.0,3.0,4.0,1,2.0,10344.827586206897,other,300.0
1500.0,3.0,3.0,1,2.0,5033.333333333333,other,75.5
1295.0,2.0,2.0,1,2.0,3389.96138996139,Raja Rajeshwari Nagar,43.9
1162.0,2.0,2.0,1,1.0,5154.9053356282275,Budigere,59.9
1035.0,2.0,2.0,1,2.0,4753.623188405797,Sarjapur  Road,49.2
1600.0,4.0,4.0,1,0.0,3300.0,other,52.8
1464.0,3.0,3.0,1,2.0,3142.0765027322404,other,46.0
1866.0,2.0,3.0,0,2.0,3300.10718113612,Hennur Road,61.58
700.0,1.0,2.0,1,1.0,3714.285714285714,other,26.0
1804.0,3.0,3.0,1,2.0,6651.884700665189,other,120.0
913.0,2.0,2.0,1,1.0,3504.9288061336256,Sarjapur,32.0
1868.0,3.0,3.0,0,2.0,7012.847965738758,other,131.0
883.0,2.0,2.0,1,1.0,5096.262740656852,other,45.0
900.0,2.0,2.0,1,1.0,12222.222222222223,other,110.0
1664.0,2.0,3.0,1,3.0,4444.110576923077,other,73.95
2026.0,3.0,3.0,1,2.0,6515.301085883514,other,132.0
1210.0,2.0,2.0,1,1.0,6685.950413223141,other,80.9
4111.0,4.0,4.0,1,2.0,6081.24543906592,other,250.0
1762.0,3.0,3.0,1,3.0,5190.124858115778,other,91.45
1252.0,3.0,3.0,1,3.0,4392.97124600639,Jigani,55.0
861.0,2.0,2.0,1,1.0,4006.968641114983,other,34.5
1420.0,2.0,3.0,1,1.0,7042.2535211267605,7th Phase JP Nagar,100.0
1450.0,6.0,6.0,1,0.0,17241.379310344826,other,250.0
1490.0,3.0,3.0,1,1.0,5288.5906040268455,Electronics City Phase 1,78.8
1075.0,2.0,3.0,1,1.0,4279.069767441861,Bisuvanahalli,46.0
1425.0,2.0,3.0,0,2.0,6596.491228070176,Old Madras Road,94.0
1200.0,2.0,2.0,1,1.0,3333.3333333333335,other,40.0
1280.0,2.0,3.0,1,2.0,4375.0,Kaggadasapura,56.0
1084.0,2.0,2.0,1,2.0,4612.546125461255,other,50.0
1015.0,2.0,2.0,0,2.0,2549.753694581281,Chandapura,25.88
1017.0,2.0,2.0,0,1.0,5039.331366764995,Kanakpura Road,51.25
1027.0,2.0,2.0,1,2.0,4284.323271665044,Haralur Road,44.0
1069.0,2.0,2.0,1,2.0,4209.541627689429,Electronic City Phase II,45.0
1349.0,2.0,2.0,1,1.0,7279.466271312083,Hebbal,98.2
1005.0,2.0,2.0,1,1.0,4975.124378109453,other,50.0
1417.0,2.0,2.0,1,3.0,5292.87226534933,Jakkur,75.0
1475.0,3.0,3.0,0,1.0,6644.067796610169,TC Palaya,98.0
950.0,2.0,2.0,1,2.0,4947.368421052632,other,47.0
2000.0,4.0,4.0,1,0.0,6000.0,other,120.0
880.0,3.0,3.0,1,1.0,15909.09090909091,other,140.0
1863.0,3.0,4.0,1,2.0,5582.393988191089,Sarjapur  Road,104.0
1010.0,2.0,2.0,1,1.0,2920.792079207921,other,29.5
1425.0,2.0,3.0,1,1.0,4912.2807017543855,other,70.0
1450.0,3.0,3.0,1,0.0,6896.551724137931,other,100.0
1847.0,3.0,3.0,1,2.0,5684.89442338928,Kothanur,105.0
1100.0,2.0,2.0,1,3.0,4090.909090909091,other,45.0
525.0,1.0,1.0,0,1.0,4952.380952380952,Kanakpura Road,26.0
1665.0,3.0,3.0,1,2.0,5705.705705705705,other,95.0
1664.0,4.0,4.0,1,3.0,3906.25,other,65.0
1850.0,3.0,3.0,1,3.0,8108.108108108108,JP Nagar,150.0
1438.0,2.0,2.0,1,3.0,6954.102920723227,Panathur,100.0
1560.0,3.0,3.0,1,3.0,7371.794871794872,other,115.0
1350.0,2.0,2.0,0,1.0,4114.814814814815,Yelahanka,55.55
1550.0,3.0,3.0,1,3.0,4322.580645161291,Kanakpura Road,67.0
1140.0,2.0,2.0,0,2.0,4078.9473684210525,other,46.5
1200.0,5.0,5.0,1,2.0,15000.0,other,180.0
850.0,2.0,2.0,0,2.0,3176.470588235294,other,27.0
1280.0,2.0,2.0,1,2.0,5859.375,Whitefield,75.0
1170.0,2.0,2.0,1,2.0,4444.444444444444,other,52.0
1113.0,2.0,2.0,1,1.0,4582.210242587601,other,51.0
1385.0,2.0,2.0,1,1.0,5999.27797833935,Hennur Road,83.09
1128.0,2.0,2.0,0,1.0,5762.41134751773,Electronic City,65.0
1200.0,2.0,2.0,1,2.0,10666.666666666666,Marathahalli,128.0
1200.0,4.0,4.0,1,3.0,13750.0,other,165.0
2390.0,3.0,3.0,1,2.0,17364.016736401674,Rajaji Nagar,415.0
2400.0,4.0,4.0,1,1.0,16666.666666666668,other,400.0
1464.0,3.0,3.0,1,2.0,3825.136612021858,Haralur Road,56.0
1200.0,2.0,2.0,1,2.0,4583.333333333333,other,55.0
1200.0,2.0,2.0,1,2.0,4333.333333333333,other,52.0
1150.0,2.0,3.0,1,1.0,4782.608695652174,other,55.0
1645.0,3.0,3.0,1,2.0,5775.075987841945,other,95.0
1000.0,2.0,2.0,0,1.0,6700.0,Sarjapur  Road,67.0
2650.0,4.0,4.0,1,2.0,7471.698113207547,Haralur Road,198.0
1192.0,2.0,2.0,1,2.0,6208.053691275168,other,74.0
2135.0,3.0,3.0,1,2.0,10070.257611241217,other,215.0
1173.0,2.0,2.0,0,1.0,4944.58653026428,Whitefield,58.0
1020.0,2.0,2.0,1,2.0,4411.764705882353,Uttarahalli,45.0
3122.0,6.0,4.0,1,2.0,7367.072389493914,Thigalarapalya,230.0
1600.0,3.0,3.0,1,3.0,4000.0,other,64.0
1200.0,2.0,2.0,0,0.0,6583.333333333333,other,79.0
1230.0,2.0,2.0,1,3.0,3902.439024390244,other,48.0
1250.0,2.0,2.0,1,2.0,3200.0,other,40.0
1325.0,2.0,2.0,1,2.0,5735.8490566037735,other,76.0
1850.0,3.0,3.0,1,1.0,8108.108108108108,7th Phase JP Nagar,150.0
1200.0,2.0,2.0,1,2.0,5416.666666666667,other,65.0
1350.0,2.0,3.0,1,0.0,10370.37037037037,other,140.0
1260.0,3.0,3.0,0,1.0,3917.4603174603176,other,49.36
1800.0,3.0,3.0,1,0.0,8333.333333333334,other,150.0
11.0,3.0,3.0,0,2.0,672727.2727272727,other,74.0
1100.0,2.0,2.0,1,1.0,3931.818181818182,other,43.25
1508.0,2.0,2.0,1,1.0,5106.100795755968,Harlur,77.0
1592.0,3.0,3.0,1,2.0,4711.05527638191,other,75.0
1388.0,2.0,2.0,1,3.0,4106.628242074928,Akshaya Nagar,57.0
630.0,1.0,1.0,0,1.0,4500.0,Electronic City Phase II,28.35
2000.0,3.0,3.0,1,2.0,18250.0,other,365.0
1762.0,3.0,3.0,1,1.0,7094.211123723042,other,125.0
950.0,2.0,2.0,0,2.0,5263.1578947368425,other,50.0
3252.0,5.0,4.0,1,3.0,10301.353013530135,other,335.0
1116.0,2.0,2.0,0,1.0,4480.286738351255,other,50.0
1308.0,2.0,2.0,1,2.0,6807.339449541284,other,89.04
1200.0,3.0,3.0,1,0.0,7500.0,other,90.0
1500.0,4.0,4.0,1,2.0,15333.333333333334,other,230.0
500.0,1.0,1.0,1,1.0,3700.0,Bannerghatta Road,18.5
1075.0,2.0,2.0,1,1.0,4837.209302325581,Hennur,52.0
530.0,1.0,1.0,0,0.0,2200.0,Chandapura,11.66
1205.0,2.0,2.0,1,3.0,5477.178423236514,Bellandur,66.0
1075.0,2.0,2.0,1,2.0,5581.395348837209,other,60.0
930.0,2.0,2.0,1,2.0,4193.548387096775,KR Puram,39.0
1380.0,2.0,2.0,1,1.0,4347.826086956522,other,60.0
2483.0,5.0,4.0,1,2.0,8538.058799838904,Hebbal,212.0
1166.0,2.0,2.0,1,2.0,4716.981132075472,other,55.0
1050.0,2.0,2.0,1,1.0,6190.476190476191,Bannerghatta Road,65.0
2023.71,3.0,3.0,0,2.0,13588.903548433324,other,275.0
1200.0,2.0,2.0,1,2.0,3900.0,Begur Road,46.8
1600.0,2.0,3.0,1,1.0,6750.0,other,108.0
1935.0,3.0,3.0,1,2.0,5684.754521963824,other,110.0
451.0,1.0,1.0,0,0.0,6629.711751662971,8th Phase JP Nagar,29.9
1800.0,3.0,3.0,1,2.0,5277.777777777777,Electronic City,95.0
1400.0,3.0,3.0,0,0.0,5500.0,Jalahalli,77.0
1801.0,3.0,3.0,1,2.0,6385.341476957246,other,115.0
1451.0,2.0,2.0,1,2.0,6202.618883528601,other,90.0
1200.0,1.0,2.0,0,1.0,3000.0,other,36.0
1160.0,2.0,2.0,1,2.0,3793.103448275862,Begur Road,44.0
1000.0,2.0,2.0,1,1.0,2500.0,Kengeri,25.0
950.0,2.0,2.0,1,1.0,4210.526315789473,Kanakpura Road,40.0
1629.0,3.0,3.0,0,2.0,4849.600982197668,other,79.0
1580.0,2.0,3.0,1,0.0,8481.012658227848,other,134.0
1826.0,3.0,3.0,0,2.0,6626.506024096386,other,121.0
1245.0,2.0,2.0,1,1.0,7550.2008032128515,7th Phase JP Nagar,94.0
1145.0,2.0,2.0,1,2.0,3999.126637554585,Raja Rajeshwari Nagar,45.79
825.0,2.0,2.0,1,1.0,4000.0,other,33.0
1693.0,3.0,3.0,0,3.0,6379.208505611341,Yeshwanthpur,108.0
1113.27,2.0,2.0,1,2.0,4760.74986301616,Electronics City Phase 1,53.0
1460.0,2.0,2.0,1,1.0,3972.6027397260273,other,58.0
1050.0,2.0,2.0,1,1.0,3047.6190476190477,other,32.0
1260.0,2.0,2.0,1,2.0,4365.079365079365,other,55.0
700.0,3.0,6.0,1,2.0,17142.85714285714,other,120.0
1656.0,2.0,2.0,1,1.0,7246.376811594203,other,120.0
